"country","FertilizerProductionGrandTotal2021","FertilizerProductionUrea","FertilizerProductionAmmoniumSulphate","FertlizerProductionAnhydrousAmmonia","FertilizerProductionFertilizersNEC","FertilizerProductionNPKFertilizers","OtherNPcompounds"
"United States",54424447,6019233,2982137,5200836,,,
"India",52590000,33695400,793000,,,4635700,5221400
"Russia",51880278,8994100,1889300,,,8919000,4793400
"Canada",36491000,4397000,1325000,4568000,297000,,
"Indonesia",11651411,7968504,369765,,,3169211,
"Poland",10616194,1656495,625599,2071402,44521,1245690,54511
"Saudi Arabia",7790548,4366200,,,,,
"Trinidad and Tobago",7096824,718612,,4929764,,,
"Ukraine",6256800,2066700,,2572500,,,
"Lithuania",4203780,581273,55753,872829,15562,15773,334185
"Malaysia",3318854,3318854,,,,,
"Oman",3318854,3318854,,,,,
"Turkey",3237539,520469,363505,,,,
"Japan",2559290,450165,906266,,,1110786,
"South Korea",2286740,,575239,,,1673974,
"Uzbekistan",1769795,465597,56395,,9674,24019,289587
"Mexico",1703750,,480654,250959,,,
"Germany",1395515,,,646637,439847,309031,
"Argentina",1330558,806678,,,,,
"Bangladesh",1200000,1010000,,,,,
"Taiwan",1189170,,429975,,,679670,
"Romania",1169624,228259,,439376,55,408391,
"Croatia",1024695,281879,88187,287863,,165420,3517
"Philippines",974946,19318,25350,,,824215,51100
"Greece",888318,30175,8680,,88959,371713,241445
"Bahrain",706544,706544,,,,,
"Serbia",501533,,34914,,978,422055,
"Bulgaria",104801,5885,,,316,,98600
"Bolivia",81417,49072,,,,,
"Czech Republic",67060,,52125,,,14935,
"New Caledonia",3164,334,,,1204,409,501
"Panama",1924,,,,,,
